10001,Avalon,Download CSV – 10001,Download CSV – 10001
10002,Bonavista–Burin–Trinity,Download CSV – 10002,Download CSV – 10002
10003,Coast of Bays–Central–Notre Dame,Download CSV – 10003,Download CSV – 10003
10004,Labrador,Download CSV – 10004,Download CSV – 10004
10005,Long Range Mountains,Download CSV – 10005,Download CSV – 10005
10006,St. John's East,Download CSV – 10006,Download CSV – 10006
10007,St. John's South–Mount Pearl,Download CSV – 10007,Download CSV – 10007
,,,
,,,
,,,
Prince Edward Island,,,
Code,Federal Electoral Districts,Format 1,Format 2
11001,Cardigan,Download CSV – 11001,Download CSV – 11001
11002,Charlottetown,Download CSV – 11002,Download CSV – 11002
11003,Egmont,Download CSV – 11003,Download CSV – 11003
11004,Malpeque,Download CSV – 11004,Download CSV – 11004
,,,
,,,
,,,
Nova Scotia,,,
Code,Federal Electoral Districts,Format 1,Format 2
12001,Cape Breton–Canso,Download CSV – 12001,Download CSV – 12001
12002,Central Nova,Download CSV – 12002,Download CSV – 12002
12003,Cumberland–Colchester,Download CSV – 12003,Download CSV – 12003
12004,Dartmouth–Cole Harbour,Download CSV – 12004,Download CSV – 12004
12005,Halifax,Download CSV – 12005,Download CSV – 12005
12006,Halifax West,Download CSV – 12006,Download CSV – 12006
12007,Kings–Hants,Download CSV – 12007,Download CSV – 12007
12008,Sackville–Preston–Chezzetcook,Download CSV – 12008,Download CSV – 12008
12009,South Shore–St. Margarets,Download CSV – 12009,Download CSV – 12009
12010,Sydney–Victoria,Download CSV – 12010,Download CSV – 12010
12011,West Nova,Download CSV – 12011,Download CSV – 12011
,,,
,,,
,,,
New Brunswick,,,
Code,Federal Electoral Districts,Format 1,Format 2
13001,Acadie–Bathurst,Download CSV – 13001,Download CSV – 13001
13002,Beauséjour,Download CSV – 13002,Download CSV – 13002
13003,Fredericton,Download CSV – 13003,Download CSV – 13003
13004,Fundy Royal,Download CSV – 13004,Download CSV – 13004
13005,Madawaska–Restigouche,Download CSV – 13005,Download CSV – 13005
13006,Miramichi–Grand Lake,Download CSV – 13006,Download CSV – 13006
13007,Moncton–Riverview–Dieppe,Download CSV – 13007,Download CSV – 13007
13008,New Brunswick Southwest,Download CSV – 13008,Download CSV – 13008
13009,Saint John–Rothesay,Download CSV – 13009,Download CSV – 13009
13010,Tobique–Mactaquac,Download CSV – 13010,Download CSV – 13010
,,,
,,,
,,,
Quebec,,,
Code,Federal Electoral Districts,Format 1,Format 2
24001,Abitibi–Baie-James–Nunavik–Eeyou,Download CSV – 24001,Download CSV – 24001
24002,Abitibi–Témiscamingue,Download CSV – 24002,Download CSV – 24002
24003,Ahuntsic-Cartierville,Download CSV – 24003,Download CSV – 24003
24004,Alfred-Pellan,Download CSV – 24004,Download CSV – 24004
24005,Argenteuil–La Petite-Nation,Download CSV – 24005,Download CSV – 24005
24006,Avignon–La Mitis–Matane–Matapédia,Download CSV – 24006,Download CSV – 24006
24007,Beauce,Download CSV – 24007,Download CSV – 24007
24008,Beauport–Limoilou,Download CSV – 24008,Download CSV – 24008
24009,Bécancour–Nicolet–Saurel,Download CSV – 24009,Download CSV – 24009
24010,Bellechasse–Les Etchemins–Lévis,Download CSV – 24010,Download CSV – 24010
24011,Beloeil–Chambly,Download CSV – 24011,Download CSV – 24011
24012,Berthier–Maskinongé,Download CSV – 24012,Download CSV – 24012
24013,Thérèse-De Blainville,Download CSV – 24013,Download CSV – 24013
24014,Pierre-Boucher–Les Patriotes–Verchères,Download CSV – 24014,Download CSV – 24014
24015,Bourassa,Download CSV – 24015,Download CSV – 24015
24016,Brome–Missisquoi,Download CSV – 24016,Download CSV – 24016
24017,Brossard–Saint-Lambert,Download CSV – 24017,Download CSV – 24017
24018,Rimouski-Neigette–Témiscouata–Les Basques,Download CSV – 24018,Download CSV – 24018
24019,Charlesbourg–Haute-Saint-Charles,Download CSV – 24019,Download CSV – 24019
24020,Beauport–Côte-de-Beaupré–Île d'Orléans–Charlevoix,Download CSV – 24020,Download CSV – 24020
24021,Châteauguay–Lacolle,Download CSV – 24021,Download CSV – 24021
24022,Chicoutimi–Le Fjord,Download CSV – 24022,Download CSV – 24022
24023,Compton–Stanstead,Download CSV – 24023,Download CSV – 24023
24024,Dorval–Lachine–LaSalle,Download CSV – 24024,Download CSV – 24024
24025,Drummond,Download CSV – 24025,Download CSV – 24025
24026,Gaspésie–Les Îles-de-la-Madeleine,Download CSV – 24026,Download CSV – 24026
24027,Gatineau,Download CSV – 24027,Download CSV – 24027
24028,Hochelaga,Download CSV – 24028,Download CSV – 24028
24029,Honoré-Mercier,Download CSV – 24029,Download CSV – 24029
24030,Hull–Aylmer,Download CSV – 24030,Download CSV – 24030
